part_no,Part name,slno,section name,total electors,total part votes
1,"GovernmentTribalResidanceMiddleSchool-Thalvallam-636138,TerracedBuildingFacingwestNorthWing",1,"1-Koilputhur(R.V),PeriyakalrayanMelnadu(P),Ward1,Koilputhur 1",749,224
1,"GovernmentTribalResidanceMiddleSchool-Thalvallam-636138,TerracedBuildingFacingwestNorthWing",2,"2-Koilputhur(R.V),PeriyakalrayanMelnadu(P),Ward1,Melvallam 220",749,151
1,"GovernmentTribalResidanceMiddleSchool-Thalvallam-636138,TerracedBuildingFacingwestNorthWing",3,"3-Koilputhur(R.V),PeriyakalrayanMelnadu(P),Ward1,Perandoor 368",749,374
2,"GovernmentTribalResidanceMiddleSchool-Thalvallam-636138,TerracedBuildingFacingNorthWestWing",1,"1-Koilputhur(R.V),PeriyakalrayanMelnadu(P),Ward1,Morasampatty 1",790,169
2,"GovernmentTribalResidanceMiddleSchool-Thalvallam-636138,TerracedBuildingFacingNorthWestWing",2,"2-Koilputhur(R.V),PeriyakalrayanMelnadu(P),Ward1,Thalvallam 165",790,621
3,"GovernmentTribalResidanceMiddleSchool-Thalvallam-636138,TerracedBuildingFacingWest,SouthWing",1,"1-Koilputhur(R.V)PeriyakalrayanmalaiMelnadu(P),Ward1,Kalakkaambadi 1",763,477
3,"GovernmentTribalResidanceMiddleSchool-Thalvallam-636138,TerracedBuildingFacingWest,SouthWing",2,"2-Koilputhur(R.V)PeriyakalrayanmalaiMelnadu(P),Ward1,ModhoorVillage 470",763,286
4,"GovernmentTribalResidanceElementarySchool-Sembarukai-636138,TerracedBuildingFacingNorthwestWing",1,"1-Koilputhur(R.V),PeriyakalrayanMelnadu(P),Ward2,Sengattupudhur 1",699,260
4,"GovernmentTribalResidanceElementarySchool-Sembarukai-636138,TerracedBuildingFacingNorthwestWing",2,"2-Koilputhur(R.V),PeriyakalrayanMelnadu(P),Ward2,Sembarukkai 259",699,243
4,"GovernmentTribalResidanceElementarySchool-Sembarukai-636138,TerracedBuildingFacingNorthwestWing",3,"3-Kariyakoilvalavu(R.V),PeriyakalrayanMelnadu(P),Ward2,Oduvangadu 521",699,196
5,"PanchayatUnionMiddleSchool-Mannur-636138,TerracedBuildingFacingNorthwestWing",1,"1-MannurandMannurR.F(R.V),PeriyakalrayanMelnadu(P),Ward4,Mannur 1",624,624
6,"GovernmentTribalResidanceElementarySchool-KariyakovilValavu-636138,TerracedBuildingFacingWestNorthWing",1,"1-Kariyakoilvalavu(R.V),PeriyakalrayanMelnadu(P),Ward2,Valampattu 1",1063,191
6,"GovernmentTribalResidanceElementarySchool-KariyakovilValavu-636138,TerracedBuildingFacingWestNorthWing",2,"2-Kariyakoilvalavu(R.V),PeriyakalrayanMelnadu(P),Ward2,Panampattu 185",1063,151
6,"GovernmentTribalResidanceElementarySchool-KariyakovilValavu-636138,TerracedBuildingFacingWestNorthWing",3,"3-Kariyakoilvalavu(R.V),PeriyakalrayanMelnadu(P),Ward2,Kariakoilvalavu 335",1063,321
6,"GovernmentTribalResidanceElementarySchool-KariyakovilValavu-636138,TerracedBuildingFacingWestNorthWing",4,"4-Kariyakoilvalavu(R.V),PeriyakalrayanMelnadu(P),Ward2,Puliyampattu 647",1063,238
6,"GovernmentTribalResidanceElementarySchool-KariyakovilValavu-636138,TerracedBuildingFacingWestNorthWing",5,"5-Koilputhur(R.V),PeriyakalrayanMelnadu(P),Ward2,Melmayamalachi 857",1063,162
7,"PanchayatUnionElementarySchool,Thalakkarai-636138,TerracedBuildingFacingNorth,WestWing",1,"1-Soolankuruchi(R.V)PeriyakalrayanmalaiKeelnadu(P),Ward1,Thalakkarai 1",866,288
7,"PanchayatUnionElementarySchool,Thalakkarai-636138,TerracedBuildingFacingNorth,WestWing",2,"2-Soolankurichi(R.V),PeriyakalrayanmalaiKeelnadu(P),Ward2,Pachaadu 256",866,368
7,"PanchayatUnionElementarySchool,Thalakkarai-636138,TerracedBuildingFacingNorth,WestWing",3,"3-Kunnur(R.V)PeriyakalrayanmalaiKeelnadu(P),Ward4,Melpoondi 612",866,210
8,"GovernmentTribalResidanceMiddleSchool-Sulankurichi-636138,TerracedBuildingFacingSouthwestWing",1,"1-Soolankuruchi(R.V)PeriyakalrayanmalaiKeelnadu(P),Ward1,Kinathoor 1",1120,279
8,"GovernmentTribalResidanceMiddleSchool-Sulankurichi-636138,TerracedBuildingFacingSouthwestWing",2,"2-Soolankuruchi(R.V)PeriyakalrayanKeelnadu(P),Ward1,Soolankuruchi 271",1120,749
8,"GovernmentTribalResidanceMiddleSchool-Sulankurichi-636138,TerracedBuildingFacingSouthwestWing",3,"3-Kunnur(R.V)PeriyakalrayanmalaiKeelnadu(P),Ward1,Therkupattu 1001",1120,92
9,"GovernmentTribalResidanceElementarySchool-Kunnur-636138,TerracedBuilding(SSA)FacingSouthEastWing",1,"1-Kunnur(R.V)PeriyakalrayanmalaiKeelnadu(P),Ward5,Keelpoondi 1",745,182
9,"GovernmentTribalResidanceElementarySchool-Kunnur-636138,TerracedBuilding(SSA)FacingSouthEastWing",2,"2-Kunnur(R.V)PeriyakalrayanmalaiKeelnadu(P),Ward5,Kunnoor 175",745,563
10,"GovernmentTribalResidanceElementarySchool-Chittampattu-636138,TerracedBuildingFacingNorth,EastWing",1,"1-Kunnur(R.V)PeriyakalrayanmalaiKeelnadu(P),Ward1,Chittampatti 1",425,425
11,"GovernmentTribalResidanceHighSchool-Kunnur-636138,TerracedBuildingFacingEastMiddlewingRoomNo2",1,"1-Kunnur(R.V)PeriyakalrayanmalaiKeelnadu(P),Ward5,Semboor, MealpoondiAtthuvalavu",456,456